"total","correcto","exactitud","verdaderos_positivos","verdaderos_negativos","falsos_positivos","falsos_negativos","clases","recall_por_clase","precision_por_clase","especificidad_por_clase","macro_recall","macro_precision","macro_especificidad","macro_f_score_2","macro_f_score_1","macro_f_score_0.5","cantidad_k_subconjuntos","numero_arboles","numero_atributos","tiempo_de_ejecucion","timestamp","semilla"
310,249,0.8032258064516129,"[38, 70, 141]","[228, 182, 149]","[22, 28, 11]","[22, 30, 9]",[1. 2. 3.],"[0.6333333333333333, 0.7, 0.94]","[0.6333333333333333, 0.7142857142857143, 0.9276315789473685]","[0.912, 0.8666666666666667, 0.93125]",0.7577777777777778,0.7584168755221388,0.9033055555555555,0.7578815261044177,0.7580596249470423,0.7582648676090983,5,10,2,1.2036798000335693,1718935085,5
310,249,0.8032258064516129,"[38, 70, 141]","[228, 182, 149]","[22, 28, 11]","[22, 30, 9]",[1. 2. 3.],"[0.6333333333333333, 0.7, 0.94]","[0.6333333333333333, 0.7142857142857143, 0.9276315789473685]","[0.912, 0.8666666666666667, 0.93125]",0.7577777777777778,0.7584168755221388,0.9033055555555555,0.7578815261044177,0.7580596249470423,0.7582648676090983,5,10,2,0.889650821685791,1718936809,5
310,249,0.8032258064516129,"[38, 70, 141]","[228, 182, 149]","[22, 28, 11]","[22, 30, 9]",[1. 2. 3.],"[0.6333333333333333, 0.7, 0.94]","[0.6333333333333333, 0.7142857142857143, 0.9276315789473685]","[0.912, 0.8666666666666667, 0.93125]",0.7577777777777778,0.7584168755221388,0.9033055555555555,0.7578815261044177,0.7580596249470423,0.7582648676090983,5,10,2,0.9254450798034668,1718937023,5
310,249,0.8032258064516129,"[38, 70, 141]","[228, 182, 149]","[22, 28, 11]","[22, 30, 9]",[1. 2. 3.],"[0.6333333333333333, 0.7, 0.94]","[0.6333333333333333, 0.7142857142857143, 0.9276315789473685]","[0.912, 0.8666666666666667, 0.93125]",0.7577777777777778,0.7584168755221388,0.9033055555555555,0.7578815261044177,0.7580596249470423,0.7582648676090983,5,10,2,1.1436820030212402,1718937197,5
310,249,0.8032258064516129,"[38, 70, 141]","[228, 182, 149]","[22, 28, 11]","[22, 30, 9]",[1. 2. 3.],"[0.6333333333333333, 0.7, 0.94]","[0.6333333333333333, 0.7142857142857143, 0.9276315789473685]","[0.912, 0.8666666666666667, 0.93125]",0.7577777777777778,0.7584168755221388,0.9033055555555555,0.7578815261044177,0.7580596249470423,0.7582648676090983,5,10,2,0.9281840324401855,1718937516,5
310,249,0.8032258064516129,"[38, 70, 141]","[228, 182, 149]","[22, 28, 11]","[22, 30, 9]",[1. 2. 3.],"[0.6333333333333333, 0.7, 0.94]","[0.6333333333333333, 0.7142857142857143, 0.9276315789473685]","[0.912, 0.8666666666666667, 0.93125]",0.7577777777777778,0.7584168755221388,0.9033055555555555,0.7578815261044177,0.7580596249470423,0.7582648676090983,5,10,2,0.9247660636901855,1718937551,5
310,249,0.8032258064516129,"[38, 70, 141]","[228, 182, 149]","[22, 28, 11]","[22, 30, 9]",[1. 2. 3.],"[0.6333333333333333, 0.7, 0.94]","[0.6333333333333333, 0.7142857142857143, 0.9276315789473685]","[0.912, 0.8666666666666667, 0.93125]",0.7577777777777778,0.7584168755221388,0.9033055555555555,0.7578815261044177,0.7580596249470423,0.7582648676090983,5,10,2,1.14854097366333,1718937902,5
310,249,0.8032258064516129,"[38, 70, 141]","[228, 182, 149]","[22, 28, 11]","[22, 30, 9]",[1. 2. 3.],"[0.6333333333333333, 0.7, 0.94]","[0.6333333333333333, 0.7142857142857143, 0.9276315789473685]","[0.912, 0.8666666666666667, 0.93125]",0.7577777777777778,0.7584168755221388,0.9033055555555555,0.7578815261044177,0.7580596249470423,0.7582648676090983,5,10,2,1.7536859512329102,1718938154,5
310,249,0.8032258064516129,"[38, 70, 141]","[228, 182, 149]","[22, 28, 11]","[22, 30, 9]",[1. 2. 3.],"[0.6333333333333333, 0.7, 0.94]","[0.6333333333333333, 0.7142857142857143, 0.9276315789473685]","[0.912, 0.8666666666666667, 0.93125]",0.7577777777777778,0.7584168755221388,0.9033055555555555,0.7578815261044177,0.7580596249470423,0.7582648676090983,5,10,2,0.9782857894897461,1718938171,5
310,249,0.8032258064516129,"[38, 70, 141]","[228, 182, 149]","[22, 28, 11]","[22, 30, 9]",[1. 2. 3.],"[0.6333333333333333, 0.7, 0.94]","[0.6333333333333333, 0.7142857142857143, 0.9276315789473685]","[0.912, 0.8666666666666667, 0.93125]",0.7577777777777778,0.7584168755221388,0.9033055555555555,0.7578815261044177,0.7580596249470423,0.7582648676090983,5,10,2,0.9072771072387695,1718938401,5
310,249,0.8032258064516129,"[38, 70, 141]","[228, 182, 149]","[22, 28, 11]","[22, 30, 9]",[1. 2. 3.],"[0.6333333333333333, 0.7, 0.94]","[0.6333333333333333, 0.7142857142857143, 0.9276315789473685]","[0.912, 0.8666666666666667, 0.93125]",0.7577777777777778,0.7584168755221388,0.9033055555555555,0.7578815261044177,0.7580596249470423,0.7582648676090983,5,10,2,0.9069628715515137,1718941112,5
